Date,Adj Close,adj_close_smooth,target_ret_1d_pct,volume,rsi_14,macd_hist_12_26_9,adx_14,atr_14,obv,sma_10,ema_20,bb_bandwidth_20_2,target_close_1d
2016-06-03,22.31198501586914,22.406723326438527,0.7251041340219366,142215825.76703843,53.536538401221605,0.27271677945892886,53.55244082561243,2.34526831628172,-2360426223.8502326,22.16548246861951,22.216817380176735,10.363584381088152,22.473770141601562
2016-06-06,22.473770141601562,22.426837370987435,0.4055427571611592,127502078.0369269,54.08757281658487,0.2452768581293444,50.740462765264105,2.3575164100089485,-2232924145.813306,22.264804154883024,22.23681928406347,10.686747728842203,22.564910888671875
2016-06-07,22.564910888671875,22.468259426292768,-0.09087518781942805,116142854.62584881,55.26420108791348,0.2213473585441253,48.173461773062805,2.3683965452538254,-2116781291.187457,22.352102524812153,22.25886120237102,10.906567602792776,22.544404983520508
2016-06-08,22.544404983520508,22.49110309346109,0.7176371840344364,106317718.23809417,55.93489246679728,0.1991824224774913,45.789817994590166,2.3745406036427683,-2010463572.949363,22.420320281925388,22.280979477712933,11.031249146771605,22.706192016601562
2016-06-09,22.706192016601562,22.55562977040323,-0.8229014974399762,106344082.7666659,57.856887636511395,0.1814915384868354,43.66155146056619,2.3802175389979907,-1904119490.182697,22.468277904470575,22.307136648445343,11.037192302926687,22.51934242248535
2016-06-10,22.51934242248535,22.544743566027865,-1.5076371131079735,112496337.93666613,57.40199769761939,0.1623059591965788,41.685303964686774,2.3785737626131147,-2016615828.1193633,22.491047764177992,22.329765878691298,10.644180029242326,22.179832458496094
2016-06-13,22.179832458496094,22.435270233768332,0.12327344087259551,124372036.55566628,52.897914997500614,0.13652774532246412,39.33201834046501,2.3749785472818106,-2140987864.6750295,22.486410875567906,22.33981391250816,9.755168761613989,22.20717430114746
2016-06-14,22.20717430114746,22.36684145398207,-0.3283273017889332,125378705.5889664,50.24404824038795,0.11027692548247489,36.663892096126794,2.3740385823190806,-2266366570.263996,22.466759318524975,22.3423879640771,8.846238502359306,22.134262084960938
2016-06-15,22.134262084960938,22.297067643275728,0.42204349813284026,123099333.91227648,47.62059282520718,0.0847688165814258,34.125491221705325,2.3738837772088948,-2389465904.1762724,22.44398013441768,22.338071743048403,7.81357914682446,22.227678298950195
2016-06-16,22.227678298950195,22.27625083997807,-2.2757569373860087,123761693.73859353,46.83487837586586,0.06399451828731827,32.28148241644648,2.372269313983635,-2513227597.914866,22.426872672461514,22.332184037994082,6.783554545425221,21.721830368041992
2016-06-17,21.721830368041992,22.109924698397244,-0.24120834227876475,159843025.61701548,41.01230137954126,0.037844381332142685,31.159901887336613,2.361846043641556,-2673070623.5318813,22.397192809657383,22.311016481842003,5.653559226383395,21.669435501098633
2016-06-20,21.669435501098633,21.97777793920766,0.8517189250089707,153184397.9319108,37.06918521958311,0.0117905995765058,30.57629952022175,2.3563314217482585,-2826255021.4637923,22.352286866479407,22.27927947778159,4.645029894472291,21.8539981842041
2016-06-21,21.8539981842041,21.94064401270659,-0.37536910480722163,149884758.55233756,36.02113553767407,-0.006800382461853924,30.430367422346308,2.354069760996545,-2976139780.01613,22.29952532512079,22.24702848110778,3.931170982983373,21.77196502685547
2016-06-22,21.77196502685547,21.89004031695125,0.5756046108641666,139982250.98663628,34.586087903803424,-0.020583365976053994,30.378625527290367,2.3529089365553193,-3116122031.002766,22.239419047469802,22.213029608330967,3.7687398144158912,21.89728546142578
2016-06-23,21.89728546142578,21.89221386029361,-2.809567958981518,136675815.6906454,34.70641133518861,-0.027215228633999416,30.420871040484528,2.3510321063571884,-2979446215.312121,22.173077456458838,22.182475727565503,4.028545932496179,21.282066345214844
2016-06-24,21.282066345214844,21.70916960576998,-1.456085231564419,186046750.98345178,29.744399739896807,-0.04077539222643953,31.201374432484503,2.337312524180068,-3165492966.2955728,22.089520060433053,22.13739895406117,4.690064264514974,20.97218132019043
2016-06-27,20.97218132019043,21.488073120096114,1.684012760535869,184820245.68841624,25.080088239265766,-0.06030270356666542,32.56355827651294,2.3207474077694656,-3350313211.983989,21.994800349065834,22.07555839844545,5.577878958893106,21.325355529785156
2016-06-28,21.325355529785156,21.439257843002824,0.8654791126222916,177908051.98189136,24.178575935012613,-0.07141442727382452,34.09489680476881,2.312595914693305,-3528221263.96588,21.90204198796791,22.014958345546155,6.244097436416059,21.50992202758789
