Date,Open,High,Low,Close,Volume
2016-11-15,24.539872896498174,24.7954727273236,24.445463113635245,24.66421890258789,129058000
2016-11-16,24.569798642943375,25.38265289927404,24.54677200335548,25.3273868560791,235362000
2016-11-17,25.285944336968594,25.410290329096046,25.060280754708725,25.31818199157715,110528000
2016-11-18,25.265218735769338,25.454040021063754,25.251403101203,25.343509674072266,113715600
2016-11-21,25.35732692477656,25.787930596694206,25.331997090331967,25.72806167602539,117058400
2016-11-22,25.77871976578358,25.88694692155281,25.652072349507886,25.74418067932129,103862000
2016-11-23,25.64285903365308,25.677399873827863,25.405681291577086,25.612924575805664,109705600
2016-11-25,25.589901391862735,25.760302436292914,25.548452726571675,25.741880416870117,45903600
2016-11-28,25.65898167602616,25.89846264489884,25.649770666821013,25.691219329833984,108776000
2016-11-29,25.509300408504494,25.797137796679205,25.345808982839657,25.665884017944336,114115200
2016-11-30,25.698130101759943,25.83629174207929,25.391870598557997,25.449438095092773,144649200
2016-12-01,25.414894151392858,25.54614794816539,25.106331515318686,25.212255477905273,148347600
2016-12-02,25.13856949489034,25.350417422829416,25.064883182701955,25.30666732788086,106112000
2016-12-05,25.32969214054196,25.336599957307254,24.926719765578795,25.124752044677734,137298000
2016-12-06,25.214561209881143,25.412593520659634,25.143178082793696,25.31818199157715,104782000
2016-12-07,25.15928898369307,25.603709947148566,25.136262345772963,25.566865921020508,119994800
2016-12-08,25.527728537713447,25.889252313584898,25.467857854722514,25.817869186401367,108273200
2016-12-09,25.86162090765732,26.41196601965301,25.86162090765732,26.2392635345459,137610400
2016-12-12,26.0872849736857,26.48104640947774,25.90306829593507,26.089588165283203,105497600
2016-12-13,26.213931585950814,26.692893527728142,26.193208132680063,26.524797439575195,174935200
2016-12-14,26.49025659397022,26.757368835886556,26.476440958456386,26.524797439575195,136127200
2016-12-15,26.568551018025296,26.87941691237197,26.53401192471621,26.669870376586914,186098000
2016-12-16,26.819537883670613,26.8264457001846,26.630716619401344,26.704402923583984,177404400
2016-12-19,26.66525296070558,27.029078038023457,26.653738763911186,26.858678817749023,111117600
2016-12-20,26.881714396728537,27.05672005666432,26.867898761435306,26.930070877075195,85700000
2016-12-21,26.895531543314586,27.03369316544668,26.890925160378657,26.955400466918945,95132800
2016-12-22,26.791910881493962,26.82875492027494,26.628419412249425,26.778095245361328,104343600
2016-12-23,26.61690544877681,26.831056594848633,26.61690544877681,26.831056594848633,56998000
2016-12-27,26.831056171390763,27.125803209159262,26.824148353371736,27.00145721435547,73187600
2016-12-28,27.061322093155326,27.17645706110187,26.75736584804925,26.88631820678711,83623600
2016-12-29,26.814934636472096,26.966913644828455,26.803422193209514,26.879411697387695,60158000
