Date,Open,High,Low,Close,Volume,MA5,MA20,Std20,EMA10,EMA20,EMA12,EMA26,MACD_Line,MACD_Signal,BB_Upper,BB_Lower,Volume_MA5,OBV,Daily_Return,Rolling_Std5,HL_Pct,RSI_14,MACD_Hist,BB_Width,Vol_Ratio,OBV_Change,Close_MA5_Pct,Close_MA20_Pct,EMA_Spread,Target
2017-01-03,26.66526310101961,26.78730590344384,26.42578212254811,26.74585723876953,115127600,26.836582946777344,26.45583028793335,0.5728600162438946,26.739984579471592,26.4765202892692,26.694812374779254,26.31705190830045,0.37776046647880435,0.41530319663765347,27.60155032042114,25.310110255445558,90888400.0,918987600.0,0.0028491650356621268,0.005601993674817493,0.01351700106929766,69.6012013407985,-0.037542730158849125,0.08661380270573933,1.2666918990762297,115127600.0,-0.0033806728743276393,0.01096268564167735,0.2634642902023927,26.71592140197754
2017-01-04,26.67677592833996,26.828754953267687,26.65374928248377,26.71592140197754,84472400,26.77947578430176,26.53538875579834,0.48147200103126214,26.735609456290856,26.499320395241423,26.698059917425145,26.346597796720975,0.35146212070416993,0.4025349814509568,27.498332757860865,25.572444753735816,93145360.0,834515200.0,-0.0011192700433844127,0.0040612577379841785,0.006550613327188623,57.5318021785733,-0.05107286074678685,0.07257809643750618,0.9068879008036471,-84472400.0,-0.002373249679572753,0.006803467167585842,0.23628906104943326,26.85177993774414
2017-01-05,26.692893104572285,26.90934742723303,26.667563268651545,26.85177993774414,88774400,26.772568130493163,26.61206865310669,0.3910448492171984,26.75673136200963,26.532887970717873,26.721709151320375,26.384018696056025,0.33769045526435093,0.38956607621363565,27.394158351541087,25.829978954672292,94175520.0,923289600.0,0.005085302270598335,0.004892905565118842,0.009004399676373837,61.63938433127166,-0.05187562094928472,0.05877706905307389,0.9426483655200417,88774400.0,0.0029586929003182494,0.009007615595846064,0.22384339129175856,27.1511344909668
2017-01-06,26.8909282862701,27.20870198661537,26.81954515384844,27.1511344909668,127007600,26.826912689208985,26.691282081604005,0.3226578185198775,26.828441021820026,26.591768591693963,26.787774588189055,26.440842088271637,0.34693249991741837,0.3810393609543922,27.33659771864376,26.04596644456425,107545440.0,1050297200.0,0.011148406322289084,0.007064198829515184,0.014332986081903936,65.43581913148175,-0.03410686103697386,0.04835403822617533,1.1809668545686363,127007600.0,0.012085691913711338,0.01722856204347467,0.2366724301260632,27.39981842041016
2017-01-09,27.160337482901998,27.50113775157672,27.158036048517403,27.39981842041016,134247600,26.972902297973633,26.770379543304443,0.2894730946629918,26.932327821563685,26.668725718238363,26.881935177761534,26.51187737213375,0.3700578056277841,0.37884304988907064,27.349325732630426,26.19143335397846,109925920.0,1184544800.0,0.009159246348475758,0.004906112654336702,0.012522042949151126,69.61047762478499,-0.008785244261286518,0.043252744204800284,1.2212551871296597,134247600.0,0.015827593105121718,0.023512512255850604,0.2636021033253222,27.427452087402344
2017-01-10,27.34915939598723,27.489624196826544,27.24093400230956,27.427452087402344,97848400,27.109221267700196,26.829788970947266,0.29657423759821816,27.02235041535253,26.740985372444456,26.96586085616781,26.579697721412906,0.3861631347549057,0.3803070668622377,27.422937446143703,26.23664049575083,106470080.0,1282393200.0,0.0010085346759669545,0.0052074667230784825,0.009067200034640018,67.27293579841597,0.005856067892668015,0.04421566459868389,0.9190225084831344,97848400.0,0.011738840321514843,0.022276102026082212,0.2813650429080745,27.574825286865234
2017-01-11,27.342252155792867,27.616273946295752,27.310014504771377,27.574825286865234,110354400,27.281002044677734,26.904050827026367,0.2872789496837826,27.122800391991206,26.82039869762739,27.059547691659724,26.653410874409374,0.4061368172503492,0.38547301693986,27.478608726393933,26.3294929276588,111646480.0,1392747600.0,0.005373200507041709,0.003937045077332893,0.011106487106928515,68.71663350087877,0.0206638003104892,0.04271162755835978,0.9884270422139596,110354400.0,0.010770251096580363,0.024932099041570455,0.3024016943638159,27.459688186645508
2017-01-12,27.37909406534432,27.47120238546857,27.22020725705048,27.459688186645508,108344800,27.40258369445801,26.950795364379882,0.29817457018192817,27.184052718291987,26.88128341086721,27.12110776781138,26.7131351197602,0.4079726480511816,0.3899729431621244,27.547144504743738,26.354446224016026,115560560.0,1284402800.0,-0.0041754426010659484,0.006207373797082719,0.00914049448457163,63.91355233632669,0.017999704889057222,0.04425465981994978,0.9375586272686806,-108344800.0,0.0020839090512128067,0.018882293282454166,0.3027693074247786,27.411333084106445
2017-01-13,27.427451909172436,27.544890067121877,27.35837022642096,27.411333084106445,104447600,27.454623413085937,26.995122146606445,0.2974078272659654,27.225376421167343,26.93176433212809,27.16575781647216,26.764853487489553,0.4009043289826053,0.3921592203262206,27.589937801138376,26.400306492074513,111048560.0,1179955200.0,-0.0017609487118130929,0.005382050031831134,0.006804479013429113,68.80977930170192,0.008745108656384726,0.044068380302306254,0.9405578964733987,-104447600.0,-0.001576795584777857,0.015418005343321717,0.29361208903925373,27.63239860534668
2017-01-17,27.250149581365505,27.68766291064761,27.22251830712533,27.63239860534668,137759200,27.501139450073243,27.043248558044432,0.31909299420535703,27.299380454654496,26.998491405767954,27.23754870706824,26.829116088812302,0.4084326182559366,0.3954138999121638,27.681434546455147,26.405062569633717,111750880.0,1317714400.0,0.008064749005892491,0.005024428513230959,0.016833305358886847,71.64184486304055,0.013018718343772773,0.04719743539988851,1.2327348115737433,137759200.0,0.004772862430363345,0.021785476180412378,0.30088904888654255,27.630096435546875
